"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 NO2
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NO2_25
E08000025,405500,287500,6,2,17.49247
E08000025,406500,287500,6,2,20.62327
E08000025,407500,287500,6,2,22.67434
E08000025,408500,287500,6,2,18.76784
E08000025,409500,287500,6,2,18.05328
E08000025,410500,287500,6,2,15.61375
E08000025,411500,287500,6,2,14.63828
E08000025,412500,287500,6,2,14.15475
E08000025,413500,287500,6,2,13.92407
E08000025,414500,287500,6,2,14.71291
E08000025,415500,287500,6,35,13.72118
E08000025,402500,286500,6,2,13.22156
E08000025,403500,286500,6,2,13.58344
E08000025,404500,286500,6,2,14.12572
E08000025,405500,286500,6,2,17.58429
E08000025,406500,286500,6,2,22.05441
E08000025,407500,286500,6,2,19.98691
E08000025,408500,286500,6,2,18.48541
E08000025,409500,286500,6,2,16.62266
E08000025,410500,286500,6,2,16.05285
E08000025,411500,286500,6,2,15.10095
E08000025,412500,286500,6,2,13.55139
E08000025,413500,286500,6,2,13.41564
E08000025,414500,286500,6,2,13.3316
E08000025,415500,286500,6,2,14.68842
E08000025,416500,286500,6,2,13.11309
E08000025,402500,285500,6,2,11.92646
E08000025,403500,285500,6,2,12.57581
E08000025,404500,285500,6,2,13.83092
E08000025,405500,285500,6,2,15.56148
E08000025,406500,285500,6,2,16.87226
E08000025,407500,285500,6,2,17.28695
E08000025,408500,285500,6,2,17.25287
E08000025,409500,285500,6,2,15.89586
E08000025,410500,285500,6,2,14.83885
E08000025,411500,285500,6,2,14.81984
E08000025,412500,285500,6,2,13.72096
E08000025,413500,285500,6,2,13.29893
E08000025,414500,285500,6,2,13.20273
E08000025,415500,285500,6,2,13.05788
E08000025,399500,284500,6,2,13.11609
E08000025,400500,284500,6,2,11.9669
E08000025,401500,284500,6,2,11.99809
E08000025,402500,284500,6,2,12.05451
E08000025,403500,284500,6,2,13.07471
E08000025,404500,284500,6,2,14.12249
E08000025,405500,284500,6,2,14.18335
