"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 gravimetric PM10
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_PM10_25,Motorway_in_25,Motorway_out_25,Trunk_A_Rd_in_25,Trunk_A_Rd_out_25,Primary_A_Rd_in_25,Primary_A_Rd_out_25,Minor_Rd+Cold_Start_in_25,Minor_Rd+Cold_Start_out_25,Brake+Tyre_in_25,Brake+Tyre_out_25,Road_Abrasion_in_25,Road_Abrasion_out_25,Industry_in_25,Industry_out_25,Domestic_in_25,Domestic_out_25,Rail_in_25,Rail_out_25,Other_in_25,Other_out_25,PM_secondary_25,Residual+Salt_25,Point_Sources_25
E08000025,408500,296500,6,2,12.47133,0,0.01058,0,7.22e-4,0.004918,0.010849,0.004374,0.02436,0.097549,0.410519,0.032788,0.171192,0.055405,1.597111,0.035047,0.602244,0,0.007696,0.003951,0.204309,4.738454,4.25662,0.202641
E08000025,409500,296500,6,2,12.10648,0,0.009742,0,7.33e-4,0,0.010613,3.69e-4,0.023618,0.004485,0.39742,0.001483,0.164507,0.012162,1.515725,0.00528,0.560811,0,0.008006,2.03e-4,0.190875,4.738454,4.256494,0.205496
E08000025,410500,296500,6,2,11.71471,0,0.00898,0,7.42e-4,0,0.009766,0.001664,0.022781,0.020229,0.374879,0.006686,0.154858,0.011522,1.442943,0.004445,0.531805,0,0.008533,0.001556,0.18104,4.717928,4.012669,0.20168
E08000025,411500,296500,6,2,11.94475,0,0.008483,0,7.51e-4,6.87e-4,0.010127,0.007165,0.023211,0.074429,0.376797,0.024693,0.154296,0.087392,1.41697,0.06212,0.517761,0.001918,0.008816,0.006583,0.17580200000000001,4.717928,4.076543,0.192281
E08000025,412500,296500,6,2,12.06254,0,0.008094,0,7.65e-4,0.003507,0.009638,0.011544,0.023654,0.095944,0.375291,0.032185,0.152965,0.092924,1.413063,0.093545,0.51588,0.002463,0.009441,0.013974,0.175733,4.717928,4.127256,0.18674
E08000025,413500,296500,6,2,11.94995,0,0.007955,0,7.89e-4,0,0.009291,0.009925,0.023754,0.09137,0.366805,0.030238,0.15028,0.16598,1.375443,0.118656,0.498389,0,0.009577,0.013328,0.172309,4.717928,4.014323,0.173601
E08000025,414500,296500,6,2,12.33451,0,0.008419,0,8.29e-4,0,0.008617,0.008109,0.021157,0.078866,0.344777,0.026069,0.145454,0.176407,1.280358,0.16501,0.445025,0,0.009089,0.012419,0.161474,4.717928,4.559005,0.1655
E08000025,415500,296500,6,35,13.51875,0.005776,0.00831,0,8.67e-4,0.003461,0.008835,0.001279,0.018368,0.085478,0.32173,0.051408,0.139152,0.018093,1.210103,0.009739,0.412676,0,0.009065,0.001321,0.151351,4.740541,6.154772,0.166427
E08000025,407500,295500,6,2,13.66417,0,0.01362,0,7e-4,0.003167,0.012342,0.012845,0.02766,0.162628,0.475892,0.053953,0.201909,0.256661,1.760075,0.340175,0.692222,0,0.008703,0.026091,0.245863,4.738454,4.438863,0.192344
E08000025,408500,295500,6,2,13.19542,0,0.012075,0,6.92e-4,0.002256,0.011767,0.008854,0.028145,0.108446,0.467029,0.036212,0.194298,0.189366,1.761249,0.184619,0.716819,0,0.008734,0.014497,0.237987,4.738454,4.272558,0.201362
E08000025,409500,295500,6,2,12.85828,0,0.011035,0,7.03e-4,0.001494,0.011578,0.004916,0.027416,0.064697,0.449002,0.021610999999999998,0.185364,0.08829,1.712246,0.060023,0.676855,0,0.008939,0.005664,0.223829,4.738454,4.357399,0.208768
E08000025,410500,295500,6,2,12.13967,0,0.009669,0,6.78e-4,0,0.010991,0.002424,0.026036,0.026367,0.419528,0.008715,0.171559,0.025495,1.56645,0.015626,0.606401,0,0.008746,0.002014,0.198543,4.717928,4.115536,0.206959
E08000025,411500,295500,6,2,12.56693,0,0.009504,0,7.22e-4,0.003947,0.010968,0.007427,0.026333,0.105681,0.419742,0.035471,0.171492,0.122733,1.587297,0.078883,0.599149,7.43e-4,0.010016,0.008975,0.206522,4.717928,4.242384,0.20101
E08000025,412500,295500,6,2,12.30188,0,0.008605,0,6.96e-4,7.08e-4,0.010405,0.008924,0.025552,0.08107,0.3985,0.026929,0.161944,0.178476,1.469419,0.161916,0.546258,0.002258,0.009952,0.027908,0.186853,4.717928,4.080044,0.197535
E08000025,413500,295500,6,2,12.19463,0,0.008448,0,7.17e-4,0,0.009267,0.011755,0.024488,0.108362,0.37894,0.035895,0.155318,0.20084,1.417651,0.134275,0.523095,0,0.010295,0.016064,0.185411,4.717928,4.07104,0.184845
E08000025,414500,295500,6,2,12.67127,0,0.008754,0,7.53e-4,0,0.008804,0.004427,0.022992,0.042874,0.365957,0.014297,0.152922,0.095198,1.339834,0.070971,0.478666,0,0.009867,0.007313,0.17596,4.717928,4.976865,0.176886
E08000025,415500,295500,6,35,12.99282,0,0.009151,0,7.83e-4,0.003816,0.008796,4.61e-4,0.019467,0.038357,0.336847,0.018824,0.145752,0.014733,1.235148,0.006732,0.422265,0,0.009859,9.51e-4,0.164337,4.740541,5.638425,0.177575
E08000025,405500,294500,6,2,15.55499,0.039816,0.017279,0,5.61e-4,0.006666,0.013465,0.006033,0.027362,0.429928,0.508486,0.262689,0.223877,0.115862,1.782035,0.114966,0.717676,0,0.008013,0.009965,0.241238,4.740207,6.071359,0.217508
E08000025,406500,294500,6,2,14.38838,0,0.022132,0,6.12e-4,0.001469,0.013425,0.005116,0.029288,0.061107,0.563319,0.020328,0.256193,0.075088,1.844261,0.067609,0.772868,0,0.008878,0.013701,0.257061,4.740207,5.451815,0.18391
E08000025,407500,294500,6,2,14.12138,0,0.016413,0,6.37e-4,0,0.012704,0.015425,0.029738,0.152885,0.518938,0.050572,0.22427,0.250215,1.828308,0.29366,0.770526,0,0.00915,0.040081,0.258416,4.740207,4.708955,0.200279
E08000025,408500,294500,6,2,13.94995,0,0.013705,0,6.26e-4,0,0.012446,0.011451,0.03039,0.11449,0.504006,0.03788,0.211235,0.316635,1.8506880000000001,0.405027,0.763243,0,0.009244,0.023197,0.254456,4.740207,4.435714,0.215312
E08000025,409500,294500,6,2,13.54735,0,0.0123,0,6.34e-4,0.005841,0.01164,0.012298,0.029204,0.161637,0.476071,0.053964,0.197849,0.240163,1.809183,0.187354,0.748929,0,0.009481,0.018176,0.239572,4.740207,4.374545,0.218305
E08000025,410500,294500,6,2,13.07132,0,0.011158,0,6.39e-4,0.002859,0.012232,0.010556,0.028797,0.118097,0.468106,0.039317,0.192044,0.206052,1.741696,0.162987,0.692978,0,0.009892,0.016667,0.227459,4.758584,4.157481,0.213717
E08000025,411500,294500,6,2,12.95273,0,0.010392,0,0.00064899999999999995,0.003806,0.012044,0.008542,0.028697,0.111714,0.458061,0.037348,0.186679,0.209929,1.686339,0.137533,0.656466,7.17e-4,0.010496,0.018191,0.218678,4.758584,4.184799,0.21307
E08000025,412500,294500,6,2,12.49964,0,0.009912,0,6.6e-4,2.59e-4,0.011415,0.006825,0.027894,0.057051,0.442774,0.018885,0.180457,0.117116,1.627152,0.080621,0.615202,0.002285,0.010882,0.008525,0.216231,4.758584,4.092687,0.214217
E08000025,413500,294500,6,35,12.36911,0,0.009281,0,6.45e-4,0,0.00975,0.008238,0.025739,0.079299,0.403391,0.026258,0.165695,0.108657,1.473114,0.068566,0.53971,1.76e-4,0.01114,0.008874,0.196694,4.758584,4.271118,0.204181
E08000025,414500,294500,6,35,12.47227,0,0.009429,0,6.74e-4,0,0.009357,0.004378,0.023885,0.042192,0.384995,0.014292,0.160946,0.071926,1.385636,0.043594,0.488078,0,0.010945999999999999,0.007546,0.189018,4.758584,4.671455,0.195342
E08000025,415500,294500,6,35,12.74105,0,0.009542,0,6.94e-4,0.00379,0.009177,2.53e-4,0.020682,0.036128,0.354306,0.017774,0.152243,0.064054,1.268405,0.003926,0.436787,0,0.010878,9.03e-4,0.179139,4.815021,5.165263,0.192085
E08000025,416500,294500,6,35,12.92169,0,0.010202,0,7.34e-4,0,0.009145,5.53e-4,0.017774,0.004956,0.331686,0.00232,0.14798,0.014752,1.167121,0.013855,0.387164,0,0.011113,8.8e-4,0.168997,4.815021,5.624832,0.192607
E08000025,405500,293500,6,2,15.53962,0.008589,0.018931,0,5.32e-4,0.003625,0.013436,0.012436,0.029555,0.221683,0.542035,0.099056,0.239556,0.262321,1.907288,0.268314,0.766062,0,0.009437,0.019323,0.275322,4.740207,5.890167,0.211744
E08000025,406500,293500,6,2,15.88437,0.031759,0.01669,0,5.54e-4,0,0.013872,0.009635,0.030197,0.309537,0.537703,0.196688,0.231332,0.23749,1.878894,0.284414,0.777185,0,0.009487,0.017652,0.272042,4.740207,6.107651,0.181373
E08000025,407500,293500,6,2,14.84529,0,0.020767999999999998,0,5.76e-4,0,0.013738,0.01581,0.030259,0.153888,0.563583,0.050903,0.251883,0.261076,1.917157,0.328361,0.781536,0,0.009706,0.019821,0.287273,4.740207,5.18125,0.217497
E08000025,408500,293500,6,2,14.30732,0,0.016197,0,5.68e-4,0.003129,0.012935,0.009698,0.031171,0.123132,0.533168,0.040874,0.22816,0.282865,1.919373,0.316592,0.787385,0,0.009904,0.024445,0.275302,4.740207,4.705384,0.246829
E08000025,409500,293500,6,2,13.74127,0,0.013974,0,5.79e-4,0.001246,0.013,0.009902,0.030714,0.108045,0.51275,0.035782,0.214888,0.248456,1.891057,0.211854,0.780183,0,0.010236,0.019265,0.257082,4.740207,4.416209,0.22584
E08000025,410500,293500,6,2,13.54507,0,0.012495,0,5.89e-4,0.002879,0.012674,0.008911,0.031067,0.114596,0.502613,0.037876,0.207356,0.23615,1.84591,0.247364,0.744496,0,0.010749,0.017041,0.244176,4.758584,4.291022,0.218512
E08000025,411500,293500,6,2,13.40295,0,0.011499,0,5.97e-4,0.004921,0.012886,0.011722,0.0299,0.151246,0.48664,0.050349,0.199374,0.215626,1.773533,0.173141,0.704675,7.25e-4,0.011222,0.016217,0.233538,4.758584,4.33281,0.22375
E08000025,412500,293500,6,35,12.79486,0,0.011003,0,6.08e-4,0,0.012752,0.006741,0.02913,0.0678,0.474841,0.022447,0.194253,0.090937,1.698174,0.057677,0.647115,0,0.012052,0.00644,0.230678,4.758584,4.24205,0.231588
E08000025,413500,293500,6,2,12.6469,0,0.010335,0,5.94e-4,0,0.010899,0.010124,0.026082,0.103154,0.427369,0.03416,0.176732,0.121502,1.524475,0.078509,0.552948,0.003008,0.011355,0.008874,0.215481,4.758584,4.348827,0.223887
E08000025,414500,293500,6,2,12.873,0,0.010455,0,6.14e-4,0,0.010517,0.007211,0.024662,0.065029,0.413192,0.021494,0.173306,0.12124,1.446083,0.081329,0.501904,0,0.012673,0.012452,0.21378,4.758584,4.786403,0.21207
E08000025,415500,293500,6,35,13.12935,0,0.010678,0,6.33e-4,0.003699,0.010276,1.28e-4,0.022572,0.034246,0.391724,0.016871,0.167683,0.011718,1.343561,0.003353,0.463095,0,0.012505,4.86e-4,0.209563,4.815021,5.408291,0.203243
E08000025,416500,293500,6,35,12.97291,0,0.011587,0,6.73e-4,0,0.009999,3.89e-4,0.019567,0.004056,0.367492,0.0019,0.163732,0.014088,1.222458,0.003934,0.415912,0,0.012823,6.65e-4,0.199941,4.815021,5.509765,0.198917
E08000025,403500,292500,6,35,13.49892,0,0.020087,0,4e-4,0,0.013479,4.7e-5,0.026172,3.47e-4,0.514323,1.6e-4,0.233505,0.009899,1.833733,0.003224,0.729005,0.001366,0.008867,0.001547,0.277518,4.71881,4.89983,0.206598
E08000025,404500,292500,6,2,13.58978,0,0.015684,0,4.48e-4,0,0.013112,0.011169,0.027972,0.105819,0.498451,0.03495,0.215151,0.231782,1.881844,0.143073,0.746656,0.002246,0.00907,0.033385,0.275843,4.71881,4.422708,0.201612
E08000025,405500,292500,6,2,14.02457,0,0.015892,0,4.72e-4,0.002146,0.013218,0.010766,0.030054,0.12856,0.520706,0.042696,0.223096,0.286035,1.928711,0.243411,0.767492,0.001246,0.01007,0.076128,0.272987,4.740207,4.510527,0.200154
E08000025,406500,292500,6,2,15.45121,0.015926,0.016371,0,4.91e-4,0.002842,0.014741,0.005189,0.031025,0.193773,0.548337,0.111491,0.233848,0.132694,1.948002,0.137259,0.791982,0,0.010342,0.015858,0.293188,4.740207,6.037938,0.169712
E08000025,407500,292500,6,2,16.2324,0.026134,0.016463,0,5.1e-4,0.005841,0.014774,0.007435,0.031001,0.316545,0.547237,0.18235,0.233719,0.379988,1.891713,0.097596,0.779278,0,0.010447,0.11092,0.292548,4.740207,6.270118,0.277575
E08000025,408500,292500,6,2,14.7514,0,0.021173,0,5.06e-4,0.001681,0.014744,0.006868,0.031225,0.08629,0.583119,0.028616,0.259415,0.213,1.971187,0.174286,0.766701,0,0.010779,0.015386,0.307363,4.740207,5.234535,0.284315
E08000025,409500,292500,6,2,14.14485,0,0.017542,0,5.19e-4,0,0.013961,0.01003,0.031172,0.095925,0.551144,0.031719,0.238064,0.2296,1.943787,0.240336,0.773003,0,0.01128,0.016738,0.276433,4.740207,4.693821,0.229564
E08000025,410500,292500,6,2,13.99719,0,0.014599000000000001,0,5.3e-4,0,0.014606,0.013877,0.031266,0.139207,0.536272,0.046081,0.224755,0.309746,1.897597,0.310048,0.759263,2.8e-4,0.011932,0.024684,0.259722,4.758584,4.41946,0.224681
E08000025,411500,292500,6,2,13.79836,0,0.01314,0,5.43e-4,0.008481,0.013364,0.010385,0.031093,0.170876,0.515024,0.057477,0.213565,0.242088,1.83451,0.163625,0.736997,5.79e-4,0.012364,0.019578,0.249082,4.758584,4.516929,0.230071
E08000025,412500,292500,6,2,13.32459,0,0.012422,0,5.56e-4,0.004606,0.013123,0.007026,0.029984,0.115567,0.497953,0.038479,0.206176,0.188995,1.740296,0.129601,0.662207,0,0.013171,0.014262,0.248904,4.758584,4.398532,0.244148
E08000025,413500,292500,6,2,12.92471,0,0.011921,0,5.49e-4,0,0.013406,0.006495,0.027515,0.067473,0.480338,0.02234,0.199244,0.082635,1.651727,0.063064,0.586721,1.94e-4,0.013457,0.005639,0.259068,4.758584,4.420364,0.253977
E08000025,414500,292500,6,2,13.31716,0,0.012231,0,5.65e-4,0.0036,0.011897,0.007436,0.025981,0.107513,0.454379,0.035981,0.192305,0.179857,1.524482,0.081298,0.532939,0.003016,0.013758,0.064781,0.239447,4.758584,4.837644,0.229463
E08000025,415500,292500,6,2,13.51825,0,0.012765,0,5.79e-4,0.008829,0.010218,0.006419,0.02345,0.147424,0.41589,0.053445,0.181571,0.094812,1.387582,0.048477,0.490176,1.03e-4,0.015306,0.072828,0.224893,4.815021,5.294731,0.213736
E08000025,416500,292500,6,35,13.7273,0,0.014039,0,6.16e-4,0.00382,0.009732,0.004419,0.020741,0.084939,0.392711,0.029699,0.179038,0.049431,1.270854,0.023543,0.455329,0,0.016716,0.074473,0.209624,4.815021,5.865131,0.207429
E08000025,417500,292500,6,35,13.51469,0,0.019407,0,6.28e-4,0.002699,0.00876,0.001231,0.017878,0.033467,0.396,0.015401,0.197342,0.039553,1.103436,0.10503,0.40738,0,0.016705,0.020639,0.17991,4.815021,5.928978,0.205226
E08000025,403500,291500,6,35,13.41121,0,0.016493,0,3.43e-4,0,0.01477,4.54e-4,0.027055,0.004635,0.510136,0.001717,0.220994,0.022553,1.913584,0.012443,0.740322,0,0.009756,0.002765,0.297151,4.71881,4.69245,0.204784
E08000025,404500,291500,6,2,13.48244,0,0.012992,0,3.85e-4,0,0.014172,0.010036,0.028522,0.09521,0.494057,0.031506,0.205528,0.222975,1.976368,0.105467,0.768428,0,0.010068,0.017001,0.289451,4.71881,4.278069,0.203389
E08000025,405500,291500,6,2,13.42833,0,0.012807,0,4.06e-4,0,0.014399,0.005948,0.031124,0.05371,0.520443,0.017761,0.213796,0.152991,2.005462,0.098188,0.787041,0.002117,0.010466,0.013252,0.29148,4.740207,4.249453,0.207278
E08000025,406500,291500,6,2,14.31376,0,0.014695,0,4.23e-4,0.007483,0.016502,0.005862,0.031533,0.122601,0.559475,0.041391,0.232577,0.144342,1.998631,0.099429,0.773066,9.47e-4,0.010961,0.05668,0.293532,4.740207,4.943781,0.219643
E08000025,407500,291500,6,2,16.11709,0.009891,0.016843,0,4.42e-4,0.004977,0.017181,0.00691,0.031905,0.165541,0.582715,0.084168,0.246662,0.103104,2.01537,0.03593,0.765667,0,0.011526,0.124377,0.301026,4.740207,6.31404,0.538606
E08000025,408500,291500,6,2,15.9998,0.035429,0.016843,0,4.43e-4,0.004331,0.015558,0.007118,0.031865,0.36134,0.561862,0.224975,0.239155,0.191284,2.003594,0.124898,0.747602,0,0.012219,0.050408,0.332332,4.740207,6.016023,0.282309
E08000025,409500,291500,6,2,15.29926,0,0.025879,0,4.57e-4,0.003604,0.015115,0.010097,0.031418,0.131775,0.617758,0.044061,0.284145,0.259029,1.979264,0.245128,0.74644,0,0.013069,0.0211,0.306696,4.740207,5.587056,0.236962
E08000025,410500,291500,6,2,14.88603,0,0.019208,0,4.71e-4,0.010316,0.014954,0.012029,0.031515,0.203058,0.575599,0.06821,0.251133,0.332329,1.939706,0.242693,0.754022,8.33e-4,0.013821,0.026627,0.283166,4.758584,5.098145,0.249606
E08000025,411500,291500,6,2,13.94844,0,0.015352,0,4.83e-4,6.91e-4,0.016509,0.009737,0.031206,0.097285,0.5621,0.032244,0.23609,0.202278,1.879124,0.21629,0.723939,0,0.014676,0.016908,0.27662,4.758584,4.59439,0.263942
E08000025,412500,291500,6,2,13.88621,0,0.014982,0,4.98e-4,7.69e-4,0.015306,0.011294,0.029745,0.117952,0.537707,0.039095,0.227415,0.232529,1.795606,0.164176,0.664167,0,0.016142,0.025272,0.288495,4.758584,4.647261,0.299213
E08000025,413500,291500,6,2,15.28975,0,0.016577,0,5.14e-4,0.013645,0.014163,0.008622,0.028793,0.237656,0.533668,0.080061,0.231415,0.771812,1.661548,0.106008,0.62036500000000006,0,0.018264,0.140871,0.307057,4.758584,5.442204,0.297928
