"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 NOx as NO2
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NOx_25,Motorway_in_25,Motorway_out_25,Trunk_A_Rd_in_25,Trunk_A_Rd_out_25,Primary_A_Rd_in_25,Primary_A_Rd_out_25,Minor_Rd+Cold_Start_in_25,Minor_Rd+Cold_Start_out_25,Industry_in_25,Industry_out_25,Domestic_in_25,Domestic_out_25,Aircraft_in_25,Aircraft_out_25,Rail_in_25,Rail_out_25,Other_in_25,Other_out_25,Point_Sources_25,Rural_25
E08000025,408500,296500,6,2,15.52983,0,1.107463,0,0.074872,0.504874,1.129038,0.395377,2.122971,0.0051,2.389623,0.113561,1.518049,0,0.032742,0,0.306861,0.007712,1.422507,0.939209,3.459866
E08000025,409500,296500,6,2,14.13535,0,1.017955,0,0.076125,0,1.10183,0.038506,2.068135,0.006129,2.274758,0.00103,1.466302,0,0.03824,0,0.32274,0.003148,1.320129,0.940456,3.459866
E08000025,410500,296500,6,2,13.9405,0,0.936719,0,0.077014,0,1.014166,0.173659,1.995891,0.001847,2.161105,8.67e-4,1.458714,0,0.047057,0,0.346811,0.008589,1.24827,0.946109,3.52368
E08000025,411500,296500,6,2,14.96627,0,0.882852,0,0.077928,0.070572,1.051772,0.650413,2.02709,0.004092,2.097796,0.351586,1.545736,0,0.059321,0.092018,0.355986,0.018209,1.2055,0.951713,3.52368
E08000025,412500,296500,6,2,16.58496,0,0.840936,0,0.079336,0.360253,1.002142,0.858339,2.072611,0.003875,2.043241,1.497278,1.484753,0,0.075451,0.115183,0.385874,0.08789,1.202219,0.951893,3.52368
E08000025,413500,296500,6,2,14.91033,0,0.825069,0,0.081748,0,0.96715,0.877313,2.064069,0.005453,1.99223,0.229014,1.668036,0,0.095603,0,0.391671,0.026151,1.185097,0.978047,3.52368
E08000025,414500,296500,6,2,13.97526,0,0.873964,0,0.085856,0,0.899449,0.734003,1.856928,0.011548,1.875919,0.231059,1.360474,0,0.118384,0,0.367376,0.011633,1.120632,0.904357,3.52368
E08000025,415500,296500,6,35,13.70411,0.624185,0.860267,0,0.089699,0.380777,0.923581,0.130327,1.617427,0.023672,1.788352,0.015183,1.201154,0,0.139991,0,0.364402,0.004955,1.066568,0.881235,3.592338
E08000025,407500,295500,6,2,18.05491,0,1.429273,0,0.072929,0.333757,1.283532,1.178088,2.406361,0.006123,2.496254,0.349685,1.806013,0,0.035852,0,0.342323,0.085738,1.752302,1.016814,3.459866
E08000025,408500,295500,6,2,17.11368,0,1.265156,0,0.071828,0.227518,1.222369,0.780637,2.470615,0.005313,2.516867,0.252767,1.776755,0,0.038951,0,0.346367,0.023027,1.659089,0.996556,3.459866
E08000025,409500,295500,6,2,16.13421,0,1.153691,0,0.072988,0.150703,1.200696,0.441678,2.398564,0.005672,2.433133,0.132458,1.73591,0,0.045243,0,0.356791,0.00673,1.536013,1.004075,3.459866
E08000025,410500,295500,6,2,14.99802,0,1.008441,0,0.070343,0,1.139684,0.23573,2.273875,0.003682,2.303978,0.030226,1.648278,0,0.045931,0,0.351113,0.006696,1.350371,1.005999,3.52368
E08000025,411500,295500,6,2,16.38039,0,0.988064,0,0.074879,0.408277,1.138055,0.657268,2.294262,0.004176,2.225689,0.352378,1.762272,0,0.070895,0.024414,0.404749,0.023438,1.413689,1.014205,3.52368
E08000025,412500,295500,6,2,15.94544,0,0.892195,0,0.072205,0.072109,1.080191,0.751937,2.22127,0.007776,2.162538,0.339902,1.762291,0,0.075499,0.114829,0.403948,0.162498,1.284037,1.018539,3.52368
E08000025,413500,295500,6,2,15.55858,0,0.873799,0,0.074265,0,0.96302,1.035884,2.137861,0.007794,2.093615,0.323459,1.64378,0,0.09786,0,0.422597,0.027247,1.291199,1.042518,3.52368
E08000025,414500,295500,6,2,14.21399,0,0.904977,0,0.077959,0,0.917963,0.400124,2.021201,0.021961,2.010291,0.121685,1.477854,0,0.124427,0,0.399723,0.015665,1.229888,0.966589,3.52368
E08000025,415500,295500,6,35,13.62244,0,0.944963,0,0.080932,0.422359,0.919654,0.050355,1.715264,0.030107,1.901506,0.004754,1.290815,0,0.150685,0,0.397018,0.004977,1.177098,0.939613,3.592338
E08000025,405500,294500,6,2,22.18948,4.194774,1.819065,0,0.058654,0.705832,1.40868,0.548668,2.377716,0.00783,2.511727,0.1406,1.787567,0,0.037826,0,0.315694,0.025925,1.708613,1.095883,3.444429
E08000025,406500,294500,6,2,18.45507,0,2.330356,0,0.06398,0.154936,1.397799,0.449475,2.54836,0.007788,2.50066,0.2404,1.928739,0,0.038365,0,0.3493,0.088094,1.810949,1.101443,3.444429
