"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 gravimetric PM2.5
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_PM2.5_25,Motorway_in_25,Motorway_out_25,Trunk_A_Rd_in_25,Trunk_A_Rd_out_25,Primary_A_Rd_in_25,Primary_A_Rd_out_25,Minor_Rd+Cold_Start_in_25,Minor_Rd+Cold_Start_out_25,Brake_tyre_in_25,Brake_tyre_out_25,Road_Abrasion_in_25,Road_Abrasion_out_25,Industry_in_25,Industry_out_25,Domestic_in_25,Domestic_out_25,Rail_in_25,Rail_out_25,Other_in_25,Other_out_25,PM_secondary_25,Residual+Salt_25,Point_Sources_25
E08000025,414500,297500,6,35,6.989424,2.74e-4,0.008073,0,9e-4,0,0.008774,3.98e-4,0.019691,0.003427,0.182274,0.001807,0.076169,0.003144,0.59002,0.002005,0.41596,0,0.007904,8e-4,0.146085,4.151001,1.231969,0.13875
E08000025,408500,296500,6,2,7.525092,0,0.010351,0,7.06e-4,0.004812,0.010614,0.004279,0.023832,0.052489,0.220893,0.017322,0.090441,0.022673,0.778741,0.033778,0.580282,0,0.007148,0.003582,0.194871,4.16831,1.130018,0.169947
E08000025,409500,296500,6,2,7.300306,0,0.009531,0,7.17e-4,0,0.010383,3.61e-4,0.023106,0.002413,0.213844,7.83e-4,0.086909,0.010036,0.736686,0.005029,0.540371,0,0.007436,1.82e-4,0.181842,4.16831,1.130006,0.172358
E08000025,410500,296500,6,2,7.164663,0,0.008785,0,7.26e-4,0,0.009555,0.001628,0.022288,0.010885,0.201716,0.003533,0.081811,0.010326,0.695147,0.004235,0.512427,0,0.007925,0.001308,0.172317,4.151001,1.099035,0.170015
E08000025,411500,296500,6,2,7.267896,0,0.008299,0,7.35e-4,6.72e-4,0.009907,0.00701,0.022708,0.040049,0.202747,0.013045,0.081515,0.038043,0.681462,0.05994,0.498918,0.001783,0.008189,0.00604,0.167119,4.151001,1.105422,0.163292
E08000025,412500,296500,6,2,7.315623,0,0.007919,0,7.48e-4,0.003431,0.009429,0.011294,0.023142,0.051625,0.201938,0.017004,0.080811,0.037914,0.670822,0.090355,0.497137,0.002288,0.008771,0.013301,0.166942,4.151001,1.110494,0.159256
E08000025,413500,296500,6,2,7.282676,0,0.007783,0,7.72e-4,0,0.00909,0.00971,0.023239,0.049165,0.197371,0.015975,0.079393,0.05679,0.653924,0.114456,0.480327,0,0.008897,0.012263,0.163615,4.151001,1.0992,0.149704
E08000025,414500,296500,6,2,7.244531,0,0.008237,0,8.11e-4,0,0.008431,0.007933,0.020698,0.042436,0.185518,0.013772,0.076843,0.060092,0.611478,0.159044,0.428891,0,0.008444,0.011323,0.153239,4.151001,1.153669,0.142671
E08000025,415500,296500,6,35,7.136811,0.005651,0.00813,0,8.49e-4,0.003386,0.008644,0.001251,0.01797,0.045995,0.173117,0.027159,0.073514,0.004738,0.582548,0.009392,0.397672,0,0.008423,0.001217,0.143617,4.170596,1.310383,0.142564
E08000025,407500,295500,6,2,8.215755,0,0.013325,0,6.85e-4,0.003098,0.012075,0.012567,0.02706,0.087508,0.256069,0.028503,0.106668,0.08144,0.845779,0.327807,0.667005,0,0.008084,0.024277,0.234908,4.16831,1.148243,0.162338
E08000025,408500,295500,6,2,7.985744,0,0.011813,0,6.77e-4,0.002207,0.011512,0.008663,0.027536,0.058353,0.2513,0.019131,0.102647,0.065903,0.839501,0.177951,0.690721,0,0.008113,0.013268,0.227032,4.16831,1.131612,0.169499
E08000025,409500,295500,6,2,7.708994,0,0.010796,0,6.88e-4,0.001462,0.011327,0.00481,0.026822,0.034812,0.241599,0.011417,0.097928,0.035473,0.811036,0.057895,0.652239,0,0.008303,0.005148,0.213186,4.16831,1.140096,0.175646
E08000025,410500,295500,6,2,7.379429,0,0.00946,0,6.64e-4,0,0.010752,0.002372,0.025471,0.014188,0.225741,0.004604,0.090635,0.013534,0.748191,0.015016,0.584384,0,0.008124,0.001794,0.188917,4.151001,1.109322,0.175262
E08000025,411500,295500,6,2,7.559151,0,0.009298,0,7.06e-4,0.003862,0.01073,0.007266,0.025762,0.056865,0.225856,0.018739,0.090599,0.052183,0.744487,0.076067,0.577421,6.9e-4,0.009305,0.008258,0.196328,4.151001,1.122006,0.171721
E08000025,412500,295500,6,2,7.499325,0,0.008418,0,6.81e-4,6.93e-4,0.010179,0.008731,0.024999,0.043623,0.214425,0.014226,0.085555,0.060788,0.702736,0.156126,0.526478,0.002099,0.009246,0.026482,0.177564,4.151001,1.105772,0.169506
E08000025,413500,295500,6,2,7.411,0,0.008264,0,7.01e-4,0,0.009066,0.011501,0.023957,0.058308,0.2039,0.018963,0.082055,0.066091,0.677905,0.129499,0.504176,0,0.009565,0.014726,0.176191,4.151001,1.104872,0.160257
E08000025,414500,295500,6,2,7.238437,0,0.008564,0,7.37e-4,0,0.0086130000000000009,0.004331,0.022494,0.023069,0.196915,0.007553,0.080789,0.031781,0.641242,0.068414,0.461355,0,0.009167,0.006724,0.167072,4.151001,1.195454,0.153159
E08000025,415500,295500,6,35,7.08427,0,0.008953,0,7.66e-4,0.003734,0.008606,4.51e-4,0.019045,0.020639,0.181251,0.009945,0.077001,0.003275,0.589235,0.006466,0.406959,0,0.00916,8.75e-4,0.156099,4.170596,1.258748,0.152471
E08000025,405500,294500,6,2,8.504142,0.038954,0.016905,0,5.49e-4,0.006521,0.013173,0.005903,0.026769,0.231337,0.273607,0.138778,0.118274,0.041578,0.877691,0.110803,0.691531,0,0.007444,0.009176,0.230453,4.169239,1.313862,0.181596
E08000025,406500,294500,6,2,8.118131,0,0.021652,0,5.99e-4,0.001437,0.013134,0.005005,0.028653,0.03288,0.303112,0.010739,0.135347,0.026178,0.885792,0.065161,0.744719,0,0.008248,0.013065,0.2455,4.169239,1.251908,0.155765
E08000025,407500,294500,6,2,8.370319,0,0.016057,0,6.23e-4,0,0.012428,0.01509,0.029093,0.082264,0.279232,0.026717,0.118481,0.082896,0.872978,0.283027,0.742484,0,0.0085,0.038055,0.246837,4.169239,1.177622,0.168696
E08000025,408500,294500,6,2,8.419461,0,0.013408,0,6.12e-4,0,0.012176,0.011203,0.029731,0.061605,0.271196,0.020012,0.111595,0.097114,0.892477,0.390374,0.735505,0,0.008588,0.021106,0.242852,4.169239,1.150298,0.18037
E08000025,409500,294500,6,2,8.132834,0,0.012034,0,6.2e-4,0.005714,0.011388,0.012031,0.028572,0.086974,0.256165,0.028509,0.104523,0.076391,0.85712,0.180697,0.721746,0,0.008809,0.016607,0.228209,4.169239,1.144181,0.183305
E08000025,410500,294500,6,2,7.94025,0,0.010916,0,6.26e-4,0.002797,0.011967,0.010327,0.028173,0.063546,0.25188,0.020771,0.101456,0.074262,0.81268,0.157176,0.667868,0,0.00919,0.015366,0.216359,4.184412,1.119254,0.181224
E08000025,411500,294500,6,2,7.845975,0,0.010167,0,6.35e-4,0.003724,0.011783,0.008357,0.028075,0.060112,0.246474,0.019731,0.098623,0.079089,0.789865,0.132676,0.632707,6.67e-4,0.00975,0.016876,0.207802,4.184412,1.121986,0.182467
E08000025,412500,294500,6,2,7.622064,0,0.009697,0,6.46e-4,2.53e-4,0.011167,0.006678,0.027289,0.030698,0.238248,0.009977,0.095335,0.051847,0.762537,0.077699,0.592974,0.002123,0.01011,0.007874,0.205473,4.184412,1.112775,0.184249
E08000025,413500,294500,6,35,7.440538,0,0.00908,0,6.31e-4,0,0.009539,0.008059,0.025181,0.042669,0.217057,0.013873,0.087536,0.032312,0.710457,0.066215,0.520204,1.64e-4,0.01035,0.008115,0.186966,4.184412,1.130618,0.1771
E08000025,414500,294500,6,35,7.294671,0,0.009225,0,6.59e-4,0,0.009154,0.004283,0.023367,0.022702,0.207159,0.007551,0.085028,0.022852,0.669324,0.042066,0.470452,0,0.010169,0.007043,0.179629,4.184412,1.170652,0.168943
E08000025,415500,294500,6,35,7.17733,0,0.009335,0,6.79e-4,0.003708,0.008978,2.48e-4,0.020233,0.019439,0.190645,0.00939,0.08043,0.008882,0.612388,0.003765,0.420978,0,0.010107,8.35e-4,0.170314,4.230074,1.2124,0.164499
E08000025,416500,294500,6,35,7.069038,0,0.009981,0,7.18e-4,0,0.008947,5.41e-4,0.017389,0.002666,0.178474,0.001226,0.078178,0.003679,0.557459,0.013297,0.37311,0,0.010324,8.08e-4,0.160787,4.230074,1.258357,0.163026
E08000025,405500,293500,6,2,8.622849,0.008403,0.018521,0,5.21e-4,0.003546,0.013144,0.012166,0.028915,0.119284,0.291659,0.052331,0.126557,0.086544,0.933536,0.258622,0.738142,0,0.008767,0.017632,0.263305,4.169239,1.295743,0.176272
E08000025,406500,293500,6,2,8.719026,0.031071,0.016328,0,5.42e-4,0,0.013572,0.009426,0.029543,0.166556,0.289328,0.103911,0.122213,0.077087,0.911033,0.274139,0.748878,0,0.008813,0.016098,0.260062,4.169239,1.317491,0.153699
E08000025,407500,293500,6,2,8.596535,0,0.020318,0,5.63e-4,0,0.01344,0.015467,0.029603,0.082804,0.303254,0.026892,0.13307,0.081459,0.94219,0.316456,0.753121,0,0.009017,0.018095,0.274933,4.169239,1.224851,0.181763
